lncRNA,protein,label
n386623,Q07955,1
n343050,Q9HCE1,1
n407114,Q01844,1
n408119,Q9UL18,1
n408119,Q9UKV8,1
n408119,Q9H9G7,1
n408119,Q9HCK5,1
n379442,Q15717,1
n387060,B7ZL34,1
n385240,Q9NZI8,1
n342856,Q07955,1
n341044,Q15717,1
n342205,Q15717,1
n376979,P26599,1
n410189,O00425,1
n382231,P35637,1
n344775,P35637,1
n407195,Q9UL18,1
n407195,Q9UKV8,1
n407195,Q9H9G7,1
n407195,Q9HCK5,1
n338747,Q86X94,1
n381280,P31483,1
n386260,Q9HCE1,1
n387016,Q07955,1
n379212,P31483,1
n346535,Q86X94,1
n380399,Q9UKV8,1
n341528,Q15717,1
n367661,Q49AS9,1
n384754,Q15717,1
n343067,O60341,1
n339432,Q96PU8,1
n337750,O00425,1
n372953,Q15717,1
n380064,O00425,1
n363337,Q07955,1
n406409,O00425,1
n382511,Q9HCE1,1
n345386,Q9HCE1,1
n405912,O00425,1
n342555,B7ZL34,1
n370618,Q86X94,1
n339930,O00425,1
n381022,P26599,1
n410153,Q15717,1
n339393,P35637,1
n345386,Q86X94,1
n340639,Q15717,1
n369419,Q49AS9,1
n409115,Q07955,1
n406488,Q15717,1
n344793,Q15717,1
n381280,Q13148,1
n405504,Q9UKV8,1
n338512,O00425,1
n409707,Q9NZI8,1
n344547,P35637,1
n339833,O00425,1
n378100,Q15717,1
n387265,Q9Y6M1,1
n339333,Q13148,1
n379850,Q07955,1
n381623,P26599,1
n345580,Q13148,1
n338774,Q15717,1
n344965,P26599,1
n385729,B7ZL34,1
n386328,Q13148,1
n324942,Q13148,1
n346238,O00425,1
n380714,Q9UKV8,1
n377170,Q15717,1
n405665,Q01844,1
n333837,O00425,1
n342555,P35637,1
n385730,Q01844,1
n385729,Q49AS9,1
n345574,Q13148,1
n340270,Q15717,1
n345044,Q49AS9,1
n377236,P31483,1
n406277,Q07955,1
n343016,Q49AS9,1
n385511,Q01844,1
n385822,Q15717,1
n337863,Q9Y6M1,1
n338788,O00425,1
n334403,P31483,1
n345395,P35637,1
n342328,P35637,1
n346188,P26599,1
n345455,P26599,1
n343030,P61011,1
n385291,Q15717,1
n407257,Q9HCE1,1
n326477,P35637,1
n367775,Q07955,1
n346535,Q9HCE1,1
n337758,Q86X94,1
n344534,Q9UKV8,1
n344720,Q49AS9,1
n338984,Q07955,1
n381789,Q13148,1
n341142,Q15717,1
n338398,O00425,1
n383186,Q9UKV8,1
n363351,Q15717,1
n328167,Q49AS9,1
n379281,P35637,1
n370180,Q15717,1
n344569,Q13148,1
n383265,Q13148,1
n342195,Q01844,1
n339897,Q15717,1
n345006,P35637,1
n340274,Q07955,1
n345707,Q07955,1
n341727,O00425,1
n5387,O94906,1
n382184,Q15717,1
n377932,Q15717,1
n346533,Q9NZI8,1
n386034,Q15717,1
n338322,Q13148,1
n377799,P31483,1
n405982,Q07955,1
n384996,Q49AS9,1
n344659,B7ZL34,1
n341319,P26599,1
n5622,P09661,1
n383080,Q9NZI8,1
n345685,Q07955,1
n341760,O00425,1
n381057,Q9Y6M1,1
n344461,Q13148,1
n343053,P17844,1
n386682,Q15717,1
n342010,Q15717,1
n337771,O00425,1
n386682,P31483,1
n386539,Q15717,1
n381846,B7ZL34,1
n345170,Q01844,1
n344885,Q15717,1
n341775,Q07955,1
n343048,P31483,1
n424067,Q15717,1
n409519,Q49AS9,1
n342361,Q15717,1
n338931,Q13148,1
n5622,P07910,1
n342856,Q9Y6M1,1
n379129,Q13148,1
n386691,Q07955,1
n381557,Q9HCE1,1
n342118,Q49AS9,1
n409320,Q15717,1
n407573,Q96PU8,1
n385468,Q49AS9,1
n342366,Q9Y6M1,1
n384209,Q49AS9,1
n374520,O00425,1
